Site,Elevation,Source
Mexican_Cut,3454,RMBL 10m Digital Elevation Model
Brush_Creek,2769,RMBL 10m Digital Elevation Model
Painter_Boy,3392,RMBL 10m Digital Elevation Model
Maxfield,2897,RMBL 10m Digital Elevation Model
Cinnamon,3460,RMBL 10m Digital Elevation Model (rounded to nearest 10m)
Cinni_Top,3560,RMBL 10m Digital Elevation Model (rounded to nearest 10m)
Almont_Low,2480,RMBL 10m Digital Elevation Model
Judd_Falls,2943,RMBL 10m Digital Elevation Model
Washington_Gulch,2806,RMBL 10m Digital Elevation Model
Almont,2740,RMBL 10m Digital Elevation Model (rounded to nearest 10m)
Elkton,3200,RMBL 10m Digital Elevation Model (rounded to nearest 10m)
Slate_River,2806,RMBL 10m Digital Elevation Model
Schofield,3152,RMBL 10m Digital Elevation Model
Bellview,3335,RMBL 10m Digital Elevation Model
Almont_Obs,2740,
Cinnamon_Obs,3460,
